日期,股票代號,股票名稱,開盤價,最高價,最低價,收盤價,成交股數(股),成交金額(元),成交筆數(筆),外資買賣超(張),投信買賣超(張),自營商買賣超(張),合計買賣超(張),估算買賣超金額(萬元),融資買進(張),融資賣出(張),融資現金償還(張),融資前日餘額(張),融資餘額(張),融券買進(張),融券賣出(張),融券現券償還(張),融券前日餘額(張),融券餘額(張),資券互抵(張)
2026-08-07,2330,台積電,2390.0,2395.0,2355.0,2370.0,24414025,57947015347,64670,641,0,61,1242,294354.0,262,513,41,29949,29657,8,3,0,38,33,0
2026-08-07,006208,富邦台50,237.15,237.9,233.7,235.35,1788590,420793743,8559,255,0,15,129,3036.01,12,8,0,401,405,2,0,0,12,10,0
2026-08-07,2317,鴻海,265.5,267.0,258.0,260.0,38813488,10147169859,69620,-5329,0,-800,-627,-16302.0,1657,2752,17,51547,50435,76,49,0,669,642,1
2026-08-07,0050,元大台灣50,103.8,104.0,102.05,102.85,69373793,7133048202,94631,-22724,0,50,8195,84285.57,1029,1331,10,25191,24879,163,24,0,573,434,26
2026-08-06,2317,鴻海,258.5,265.0,257.5,264.5,82178728,21570563960,69628,21743,0,135,147,3888.15,3859,2176,15,49879,51547,26,140,1,556,669,22
2026-08-06,006208,富邦台50,236.85,237.6,234.8,236.55,3756832,887221086,8356,-394,0,0,-331,-7829.81,13,3,0,391,401,1,10,0,3,12,0
2026-08-06,2330,台積電,2395.0,2395.0,2360.0,2365.0,25536816,60600738669,89846,-4012,0,-83,-584,-138116.0,1073,331,19,29226,29949,27,3,0,62,38,0
2026-08-06,0050,元大台灣50,103.25,103.7,102.55,103.3,78928810,8137432075,91395,-8703,0,5800,-13609,-140580.97,863,1025,36,25389,25191,133,230,0,476,573,19
2026-08-05,0050,元大台灣50,103.75,104.75,102.9,103.8,168906182,17568942082,128323,84036,0,9902,-9301,-96544.38,1215,5551,70,29795,25389,676,221,0,931,476,36
2026-08-05,2317,鴻海,257.0,260.5,256.0,258.5,72633762,18765599956,59395,36977,0,-1108,488,12614.8,2314,3008,51,50624,49879,13,261,0,308,556,25
2026-08-05,2330,台積電,2385.0,2415.0,2370.0,2405.0,36782301,88157683613,119876,12251,0,-1205,-1100,-264550.0,362,1882,19,30765,29226,9,24,0,47,62,4
2026-08-05,006208,富邦台50,237.0,239.45,235.4,238.25,4374664,1041303275,10556,1688,0,0,-294,-7004.55,6,26,2,413,391,0,1,0,2,3,1
