TOTAL 85  by_source={'llm_gemini': 22, 'manual': 63}

llm_gemini   t2 v=False 2330   -> 2317    矽光子晶圓代工
llm_gemini   t2 v=False 2330   -> 2345    矽光子晶圓代工
llm_gemini   t2 v=False 2330   -> 2382    矽光子晶圓代工
llm_gemini   t2 v=False 2330   -> 4977    矽光子積體電路晶圓代工
llm_gemini   t2 v=False 2330   -> 4979    矽光子積體電路晶圓代工
llm_gemini   t2 v=False 2330   -> 6669    矽光子晶圓代工
llm_gemini   t2 v=False 3081   -> 2317    砷化鎵雷射磊晶片
llm_gemini   t2 v=False 3081   -> 2345    砷化鎵雷射磊晶片
llm_gemini   t2 v=False 3081   -> 2382    砷化鎵雷射磊晶片
llm_gemini   t2 v=False 3081   -> 6669    砷化鎵雷射磊晶片
llm_gemini   t2 v=False 3131   -> 2317    CoWoS/先進封裝濕製程設備
llm_gemini   t2 v=False 3131   -> 2345    CoWoS/先進封裝濕製程設備
llm_gemini   t2 v=False 3131   -> 2382    CoWoS/先進封裝濕製程設備
llm_gemini   t2 v=False 3131   -> 6669    CoWoS/先進封裝濕製程設備
llm_gemini   t1 v=False 3163   -> 2345    光被動元件與模組
llm_gemini   t1 v=False 3163   -> 2382    光被動元件與模組
llm_gemini   t1 v=False 3363   -> 2317    光纖陣列與矽光子整合元件
llm_gemini   t1 v=False 3363   -> 2345    光纖陣列與矽光子整合元件
llm_gemini   t1 v=False 3363   -> 2382    光纖陣列與矽光子整合元件
llm_gemini   t1 v=False 3363   -> 6669    光纖陣列與矽光子整合元件
llm_gemini   t2 v=False 3711   -> 4977    CPO/SiP先進封裝
llm_gemini   t2 v=False 3711   -> 4979    CPO/SiP先進封裝
manual       t2 v=True  2330   -> 3450    COUPE 標準／先進晶圓代工
manual       t2 v=True  2330   -> 3711    COUPE 標準／先進晶圓代工
manual       t2 v=True  2330   -> 6451    COUPE 標準／先進晶圓代工
manual       t2 v=True  3081   -> 2330    矽光子磊晶材料
manual       t2 v=True  3081   -> 4908    矽光子磊晶材料
manual       t2 v=True  3081   -> 4977    磷化銟(InP)磊晶片與雷射晶粒
manual       t2 v=True  3081   -> 4979    磷化銟(InP)磊晶片與雷射晶粒
manual       t2 v=True  3131   -> 2330    CoWoS／CPO 封裝設備
manual       t2 v=True  3131   -> 3450    CoWoS／CPO 封裝設備
manual       t2 v=True  3131   -> 3711    CoWoS／CPO 封裝設備
manual       t2 v=True  3131   -> 6451    CoWoS／CPO 封裝設備
manual       t2 v=True  3163   -> 4908    光被動元件／高階跳線
manual       t2 v=True  3163   -> 4977    光被動元件／高階跳線
manual       t2 v=True  3163   -> 4979    光被動元件／高階跳線
manual       t2 v=True  3363   -> 3450    光纖陣列（FA）／微透鏡對位
manual       t2 v=True  3363   -> 3711    光纖陣列（FA）／微透鏡對位
manual       t2 v=True  3363   -> 4908    光纖陣列（FA）／微透鏡對位
manual       t2 v=True  3363   -> 4977    光纖陣列（FA）／微透鏡對位
manual       t2 v=True  3363   -> 4979    光纖陣列（FA）／微透鏡對位
manual       t2 v=True  3363   -> 6451    光纖陣列（FA）／微透鏡對位
manual       t1 v=True  3450   -> 2317    光通訊元件封裝測試
manual       t1 v=True  3450   -> 2345    光通訊元件封裝測試
manual       t1 v=True  3450   -> 2382    光通訊元件封裝測試
manual       t1 v=True  3450   -> 6669    光通訊元件封裝測試
manual       t2 v=True  3583   -> 2330    CoWoS／CPO 封裝設備
manual       t2 v=True  3583   -> 3450    CoWoS／CPO 封裝設備
manual       t2 v=True  3583   -> 3711    CoWoS／CPO 封裝設備
manual       t2 v=True  3583   -> 6451    CoWoS／CPO 封裝設備
manual       t1 v=True  3711   -> 2317    CPO 封裝整合
manual       t1 v=True  3711   -> 2345    CPO 封裝整合
manual       t1 v=True  3711   -> 2382    CPO 封裝整合
manual       t1 v=True  3711   -> 6669    CPO 封裝整合
manual       t1 v=True  4908   -> 2317    高階光收發模組／次系統
manual       t1 v=True  4908   -> 2345    高階光收發模組／次系統
manual       t1 v=True  4908   -> 2382    高階光收發模組／次系統
manual       t1 v=True  4908   -> 6669    高階光收發模組／次系統
manual       t1 v=True  4977   -> 2317    高速光收發模組
manual       t1 v=True  4977   -> 2345    高速光收發模組
manual       t1 v=True  4977   -> 2382    高速光收發模組
manual       t1 v=True  4977   -> 6669    高速光收發模組
manual       t1 v=True  4979   -> 2317    高速光收發模組
manual       t1 v=True  4979   -> 2345    高速光收發模組
manual       t1 v=True  4979   -> 2382    高速光收發模組
manual       t1 v=True  4979   -> 6669    高速光收發模組
manual       t2 v=True  6442   -> 4908    光被動元件／高階跳線
manual       t2 v=True  6442   -> 4977    光被動元件／高階跳線
manual       t2 v=True  6442   -> 4979    光被動元件／高階跳線
manual       t1 v=True  6451   -> 2317    光收發模組、CPO封裝服務
manual       t1 v=True  6451   -> 2345    CPO 封裝整合
manual       t1 v=True  6451   -> 2382    光收發模組、CPO封裝服務
manual       t1 v=True  6451   -> 6669    光收發模組、CPO封裝服務
manual       t2 v=True  COHR   -> 3450    高階光通訊雷射晶片
manual       t2 v=True  COHR   -> 3711    高階光通訊雷射晶片
manual       t2 v=True  COHR   -> 4908    高階光通訊雷射晶片
manual       t2 v=True  COHR   -> 4977    高階光通訊雷射晶片
manual       t2 v=True  COHR   -> 4979    高階光通訊雷射晶片
manual       t2 v=True  COHR   -> 6451    高階光通訊雷射晶片
manual       t2 v=True  LITE   -> 3450    高階光通訊雷射晶片
manual       t2 v=True  LITE   -> 3711    高階光通訊雷射晶片
manual       t2 v=True  LITE   -> 4908    高階光通訊雷射晶片
manual       t2 v=True  LITE   -> 4977    高階光通訊雷射晶片
manual       t2 v=True  LITE   -> 4979    高階光通訊雷射晶片
manual       t2 v=True  LITE   -> 6451    高階光通訊雷射晶片
